,Category,Sentence
0,3,"-LRB- The film -RRB- deals with the subject of relationships in such a direct, emotionally honest way that in the end it is impossible to determine whether the film is profoundly pessimistic or quietly hopeful at its core."
1,2,"Wasteful, intoxicatingly tasteless."
2,4,It's also beautifully played.
3,1,"But like silence, it's a film that gets under your skin."
4,2,It was done with an innocent but passionate conviction that our Hollywood has all but lost.
5,2,Director David Jacobson tells Dahmer that the killer never gambles away his victims.
6,4,"Overall, Cletis Tout is an award-winning comedy that captures the imagination and tickles the comic bone."
7,1,The film is too impressed by its own serious insights to absorb much entertainment value.
8,1,< br > -LRB- Hopkins -RRB- is less than faxed in his performance.
9,4,Gorgeous fun.
10,1,Too bland and distasteful to be truly prudish.
11,4,Ozpetek's efforts have the scale and form of a particularly successful television film.
12,1,"When the Mediterranean sparkles, it sinks."
13,3,Offers laughter and insights into one of the toughest times a child can go through.
14,3,"Uneven, but with lots of fun."
15,4,"Compared to the usual somber festival entries, Davis's highly personal brand of romantic comedy is a tart, shrewd breath of fresh air that stands out from the crowd, even if the picture itself is somewhat problematic."
16,3,The sheer joy and pride they have taken in their work - and in each other - shines through every frame.
17,2,A film that seems motivated more by a desire to reconcile Mortarboards with Dead Poets Society and Good Will Hunting than by its own story.
18,1,She doesn't really know or care about the characters and uses them as markers for a series of predetermined events.
19,0,"By throwing out so many red herrings, remove so many false fears that the real ones hardly register."
20,4,In his US debut Schnitzler proves to be a skillful pacemaker and stylist.
21,2,"""Home Movie"" is the cinematic equivalent of a lovingly rendered illustrated book."
22,3,"It's anything but a frothy piece, and the characters are complex, laden with baggage and tinged with tragic undertones."
23,1,These characters get tiring.
24,3,George Lucas returns as a visionary with a story full of nuances and character dimensions.
25,3,"It's the kind of film about growing up that we don't see often enough these days: realistic, urgent and not at all sugary."
26,3,"My Big Fat Greek Wedding is this rare animal known as the ""perfect family movie"" because it's about family."
27,1,Overloaded with complicated conspiracies and banal dialogues
28,4,Outstanding performances by Jacqueline Bisset and Martha Plimpton adorn this deeply moving melodrama.
29,4,A live wire film that never loses its ability to shock and amaze.
30,2,"There's no question that Epps hits once or twice, but it's telling that his funniest moment comes when he falls about 10 feet to his head."
31,3,-LRB- A -RRB- satisfactory niblet.
32,2,Vampire epic succeeds as a creepy action-packed trash of the highest quality.
33,0,"Judging by this, it is a failure."
34,3,"When you have the hugely popular Vin Diesel in the equation, that adds up to huge cash sums that are all but guaranteed."
35,3,A restrained labour of love that strikes a very sonorous chord.
36,4,This is the best Star Trek movie in a long time.
37,3,"The most memorable thing about Circuit is that it was shot on digital video, whose tiny camera enables Shafer to navigate large... and small... spaces with considerable skill."
38,1,Fails so fundamentally on all conventional levels that it acquires a kind of stupid greatness.
39,4,The best comedy concert film I've seen since Cho's last concert comedy film I'm the One That I Want in 2000.
40,3,"""Return to Never Land"" may be another shameless attempt by Disney to rake in the dough for baby boomer families, but it's not half as bad."
41,1,You are more likely to scratch your head than hide under your seat.
42,3,The performances are consistently good.
43,1,"The château would have benefited from a sharper, cleaner script before it went on camera."
44,1,Romeo's really wrong with this!
45,2,"Shrill and inelegant in his ""message-film"" pose."
46,0,"Humourless, confident art without a shred of intelligence or invention."
47,3,"A fusion of children's entertainment, refined wit and symbolic graphic design."
48,1,"With three hours and very little story or character development, there is plenty of room for editing, and a much shorter cut would certainly have led to a smoother, more focused narrative without sacrificing any cultural intrigue."
49,4,"The storylines are skillfully interwoven, the magnificent aerial shots are breathtaking and the overall experience is breathtaking."
50,0,The whole film needs a scented bath.
51,1,"The film oscillates between sentimentality and silly, life-affirming moments straight out of a mobile phone commercial."
52,2,-LRB- A -RRB- a rare film that makes us re-evaluate the basis of our lives and assess what really is ours in a world of senseless activity.
53,2,"Has a groovy musical beat to dance to, but its energy cannot be compared to the wit, humour and snappy dialogue of the original."
54,2,Wallace conducts with such patronizing reverence that it twists your stomach.
55,4,You'll probably love it.
56,1,More strenuous than anything.
57,0,"This time, something seems to have been lost in translation."
58,4,Sexy and romantic.
59,3,"In the affable maiden of Manhattan, Jennifer Lopez's most aggressive and sincere attempt to take movies by storm, the diva cleverly surrounds herself with a company of strictly A-list players."
60,0,"In an utterly predictable plot, you swear you've ""seen it all before, even if you've never been within a mile of The Longest Yard."""
61,3,"Birthday Girl is lucky with Chaplin and Kidman, who are able to conjure up a certain movie-star charisma when they need it to sell us this twisted love story, but who can also negotiate the film's darker twists."
62,1,"Surprisingly, given that Baird is a former film editor, the film is pretty choppy."
63,3,"In the first five minutes you talk ""till the end of the year!"
64,0,This mess of a film is nothing less than the travesty of a transvestite comedy.
65,2,That's exactly what you'd expect.
66,1,-LRB- Stevens - RRB- is so excited to make an important film about human infidelity and coincidences that he throws a kitchen sink at a story that is already overloaded with plot ideas.
67,0,And it's still hard to believe that anyone in their right mind would want to see it.
68,2,"Although he never fully exploits his potential as a film, he offers a lot of insights into the female condition and the timeless danger of suppressed emotions."
69,1,"The filmmakers play with the big boys in New York and L.A. To that end, they mock the kind of people they don't understand, who they think are the power people, who don't care to understand them."
70,2,This harrowing journey into battle hell vividly captures the chaotic madness and personal tragedies that abound when human hatred spreads uncontrollably.
71,1,You leave the room with the feeling that you have had a long workout without ever setting your pulse racing.
72,2,"The smash 'em - up, crash' em - up, shoot 'em - up end comes out of nowhere and replaces chaos with tension."
73,3,"I still like Moonlight Mile, but I'm damned if I do."
74,3,Delivers more than his fair share of cheeky hilarity.
75,4,"In the last act, the director shimmers into the audience like a crafty fisherman, because his poignant storyline completely engages us."
76,2,The camera turns!
77,1,"Cassavetes thinks he's doing Dog Day Afternoon for a good cause, but he reduces everything he touches to a strident, didactic caricature."
78,0,"As aimless as an old pickup truck getting completely out of control on a long piece of black ice, two hours feels like four."
79,2,The same guy with both hats.
80,1,"The film never rises above a conventional, two-dimensional story"
81,1,"< p > Freaky Friday, '' it's not."
82,0,"Skip the hustle and bustle and pick your nose instead, because you're sure to get more out of the latter experience."
83,2,"Decasia is what has happened to so many silent films, newsreels and the like."
84,0,"Crude, clichéd and clunky, this trivial romantic comedy in which opposites attract for no better reason than that the script demands that the charm of stars Hugh Grant and Sandra Bullock be squandered."
85,3,Scott Baio is about to bring in some charming work on indie projects.
86,3,"Wiseman is patient and uncompromising, letting his camera observe and document the lives of women torn apart by a legacy of abuse."
87,3,"An unusually dry, even analytical approach to material generally played for maximum moisture."
88,4,"A lively, colourful, semi-musical reproduction."
89,3,Your children will be busy for 72 minutes.
90,3,A sensitive and clever first feature film by Anne-Sophie Birot.
91,3,The odious title character gives this documentary the drama it deserves.
92,3,"A meticulously assembled, annoyingly well-acted film that ticks off Kahlo's life stages with the dutiful precision of a tax consultant."
93,0,"The film almost completely lacks suspense, surprise and consistent emotional conviction."
94,3,"A largely credible, refreshingly quiet and quietly inspiring little sporting drama."
95,2,"The film is explosive, but a few of these sticks are wet."
96,2,"On some basis, Blue Crush keeps what it promises, just not good enough to recommend it."
97,2,"If you resurrect a dead person, there should be a knock, right?"
98,3,"It's a square, sentimental drama that satisfies, as comfort food often can."
99,1,"The most opaque, smug and just plain silly excuse for a film as you can imagine."
100,4,Diggs and Lathan are one of the main reasons Brown Sugar is such a sweet and sexy movie.
101,4,... a delicious crime drama on par with Mamet's smoothest.
102,3,"Derrida is virtually useless as an introduction to the theories and influences of men, but invaluable as a portrait of the artist as an endlessly inquisitive old man."
103,2,"Venezuelans say things like < unk > si, pretty much 'and < unk > por favor, go home' when they talk to Americans."
104,2,It's the kind of stunt the Academy loves: a powerful political message stuffed into an otherwise mediocre film.
105,4,"One of the best, most understated performances of Jack Nicholson's career."
106,2,"It may sound like a mere pestilence-of-the-week television movie, but A Song For Martin is infinitely more poignant in real-life performances by Mr. and Mrs. Seldahl and Ms. Wollter."
107,3,"A soft, moving look back at what was to become Iranian-American in 1979."
108,4,"A dazzlingly beautiful coming-of-age portrait, shot in artful, watery shades of blue, green and brown."
109,3,"Alternately hilarious and sad, aggravating and soulful, depressing and joyous."
110,1,It's a pity this sympathetic film isn't more accomplished.
111,2,"None of this has the superficiality or classical familiarity of Bond, but much of it is good for a laugh."
112,3,Heaven is a ravishingly strange film that is deeply concerned with morality but refuses to make things clear to viewers.
113,4,"Admirers of director Abel Ferrara may be relieved that his latest feature R Xmas marks a modest, if encouraging, return to form."
114,0,"Once the expectation of laughter is suppressed by some obscenity, even the funniest idea is no longer funny."
115,0,... this is not even a film we can enjoy as mild escapism; it is one in which fear and frustration are provoked to an intolerable degree.
116,1,"Proves to be a lovable little thing, which is unfortunately a little too much in love with its own cuteness."
117,3,"The filmmakers try to strike a balance between pointed, often succinct satire and blatant sweetness, with results that are sometimes rousing, sometimes baffling and quite often and unexpectedly touching."
118,1,"The script deals with big, heavy themes in a bland, superficial way that offers no insight into why, for example, good things happen to bad people."
119,1,Every now and then a film comes along that is so insanely stupid and in many ways so terrible that you get dizzy watching it.
120,3,"Holofcener's film does not offer the sum of its parts, but just enough insights not to make it seem too simplistic, and the cast is engaging enough to avoid sitting in your chair too often."
121,4,"Superbly photographed and directed by Mendes, with a series of stirring set pieces rarely seen by mainstream audiences."
122,2,"Trying to be bold and original, it only occasionally seems satirical and never fresh."
123,3,Giggling about the absurdities and contradictions is part of the fun.
124,3,The magical -LRB- and original running time -RRB- of Japanese ace Hayao Miyazaki's Spirited Away survives intact in the newly voiced version of BV.
125,4,"A stirring documentary about the Israeli-Palestinian conflict, as revealed through the eyes of some children who, despite all the odds, remain curious about one another."
126,3,Makes one thing abundantly clear.
127,1,"Parents beware, this is a real cinematic fine."
128,0,"... the story is far-reaching, illogical and simply stupid."
129,2,It is difficult for a long-time admirer of his work not to be drawn into invincibility and overlook its disadvantages.
130,0,"Instead, you just fall asleep."
131,1,It has more in common with fireworks than with a movie that is normally expected to have characters and a plot.
132,1,"Adrift, Bentley and Hudson stare and sniff, respectively, as Ledger tries in vain to prove that the intensity of a movie star can overcome bad hair design."
133,1,"Matteis's underdeveloped effort here is nothing more than a convenient conveyor belt of brooding personalities walking around as if they were coming back from the stock characters ""camp - a sleepy drama infatuated with its own pretentious self-examination."
134,2,"The same song, second verse, could have been better, but it could have been worse."
135,1,"Fincher has no obvious pleasure in making films, and he doesn't give audiences one."
136,3,"Supported by an amazing cast - LRB- with the exception of Love Hewitt -RRB-, an interesting racial tension - and a plot I haven't seen in at least Pete's Dragon."
137,4,Brutally honest and with humor and insistence tells what makes his message resound.
138,2,"A love story of a different kind - dark, disturbing, painful, but captivating."
139,3,"Roman Polanski's autobiographical gesture of redemption is better than ""Shindler's List"" - it's more than just a Holocaust film."
140,2,Shows the potential for a better film than what Bailly delivers
141,3,"World Traveler may not go anywhere new or arrive in any special place, but it is certainly an honest attempt to achieve something."
142,4,"It's a treat - a delightful, funny, improbable romantic comedy with a fast-paced jazzy score... Grant and Bullock make it look like they're having so much fun."
143,2,The film has a childlike quality.
144,1,"They are the nameless, easily interchangeable forces that serve as the terror that the heroes of horror movies try to escape."
145,3,Scorsese's courage and integrity in advancing this vision can hardly be underestimated.
146,2,"Oh, what the hell."
147,2,"Boy, oh boy, it's a howler."
148,4,"A disturbing, memorable cinematic experience that makes its predecessors proud."
149,2,Veterans of the dating wars will grin in disbelief at the film's nightmare versions of everyday sex mishaps in the city.
150,1,"The metaphors are provocative, but all too often the viewer is confused by the mechanics of surrender."
151,3,"It's an entertaining film, and the effects, boosted to the size of a city hotel, will almost take you into space."
152,0,A ludicrous - or rather unludicrous - excuse for a film.
153,3,"Jacquot filmed the opera exactly as the libretto envisages, and ideally captured the drama and lyricism of the opera."
154,3,"A good old-fashioned adventure for kids, Spirit: Stallion of the Cimarron is a winner."
155,1,A film in which the story is almost incidental in the midst of a whirl of color and inexplicable events.
156,4,"Anyone who welcomes a dash of avant-garde, melded with their sense of humor, should rejoice in the crazy, joyous buzz of a movie."
157,4,"Perfectly set between comedy and tragedy, hope and despair, About Schmidt comes much closer to the way of life of many of us than many films - somewhere between consuming self-absorption and stubbornly demanding otherness."
158,3,"Far From Heaven is a dazzling conceptual achievement, but more than that, it's a work of gripping drama."
159,3,"Works both as a revealing look at the cooperation process and as a timely, tongue-in-cheek profile of the corporate circus that represents the record industry in the current climate of mergers and downsizing."
160,3,"Adolescents are adequately served with the second mix of dizziness and slapstick, even if the more lascivious minds might be disappointed by the relative modesty of a film that offers a topless tutorial service."
161,3,A delicious appetizer that makes you want more.
162,2,The Sundance Film Festival has become so bustling that fans and producers come to Utah every January to release The Next Great Thing.
163,4,"Like blended shades of lipstick, these components combine to create a grandiose story with lots of laughs."
164,1,"The film has -LRB- its -RRB- moments, but there are only a few."
165,4,"A sensitive, cultured approach to Greene's work, but also a remarkably faithful one."
